day_order,day,tray_no,tray,logical_key,sequence,capture_id,source_d,source_ms_g,source_ms_r,source_ms_re,source_ms_nir,bands_found,missing_bands,complete_set
3,Day 3,4,Tray 4,0004,0004,DJI_20260621125808_0004,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 3\DJI_20260621125808_0004_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 3\DJI_20260621125808_0004_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 3\DJI_20260621125808_0004_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 3\DJI_20260621125808_0004_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 3\DJI_20260621125808_0004_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
3,Day 3,5,Tray 5,0005,0005,DJI_20260621125931_0005,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 3\DJI_20260621125931_0005_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 3\DJI_20260621125931_0005_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 3\DJI_20260621125931_0005_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 3\DJI_20260621125931_0005_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 3\DJI_20260621125931_0005_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
3,Day 3,7,Tray 7,0007,0007,DJI_20260621130015_0007,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 3\DJI_20260621130015_0007_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 3\DJI_20260621130015_0007_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 3\DJI_20260621130015_0007_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 3\DJI_20260621130015_0007_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 3\DJI_20260621130015_0007_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
3,Day 3,9,Tray 9,0009,0009,DJI_20260621130058_0009,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 3\DJI_20260621130058_0009_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 3\DJI_20260621130058_0009_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 3\DJI_20260621130058_0009_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 3\DJI_20260621130058_0009_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 3\DJI_20260621130058_0009_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
4,Day 4,1,Tray 1,0001,0001,DJI_20260622122222_0001,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122222_0001_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122222_0001_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122222_0001_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122222_0001_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122222_0001_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
4,Day 4,2,Tray 2,0002,0002,DJI_20260622122329_0002,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122329_0002_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122329_0002_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122329_0002_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122329_0002_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122329_0002_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
4,Day 4,3,Tray 3,0003,0003,DJI_20260622122437_0003,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122437_0003_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122437_0003_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122437_0003_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122437_0003_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122437_0003_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
4,Day 4,5,Tray 5,0005,0005,DJI_20260622122624_0005,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122624_0005_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122624_0005_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122624_0005_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122624_0005_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122624_0005_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
4,Day 4,6,Tray 6,0006,0006,DJI_20260622122657_0006,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122657_0006_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122657_0006_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122657_0006_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122657_0006_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122657_0006_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
4,Day 4,7,Tray 7,0007,0007,DJI_20260622122752_0007,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122752_0007_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122752_0007_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122752_0007_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122752_0007_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122752_0007_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
4,Day 4,8,Tray 8,0008,0008,DJI_20260622122838_0008,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122838_0008_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122838_0008_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122838_0008_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122838_0008_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 4\DJI_20260622122838_0008_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
9,Day 9,1,Tray 1,0001,0001,DJI_20260627101229_0001,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101229_0001_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101230_0001_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101230_0001_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101230_0001_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101230_0001_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
9,Day 9,3,Tray 3,0003,0003,DJI_20260627101610_0003,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101610_0003_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101610_0003_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101610_0003_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101610_0003_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101610_0003_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
9,Day 9,5,Tray 5,0005,0005,DJI_20260627101808_0005,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101808_0005_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101808_0005_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101808_0005_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101808_0005_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101808_0005_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
9,Day 9,6,Tray 6,0006,0006,DJI_20260627101858_0006,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101858_0006_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101858_0006_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101858_0006_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101858_0006_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101858_0006_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
9,Day 9,7,Tray 7,0007,0007,DJI_20260627101933_0007,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101933_0007_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101933_0007_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101933_0007_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101933_0007_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627101933_0007_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
9,Day 9,8,Tray 8,0008,0008,DJI_20260627102037_0008,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627102037_0008_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627102037_0008_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627102037_0008_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627102037_0008_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 9\DJI_20260627102037_0008_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
