day_order,day,tray_no,tray,logical_key,capture_id,status,error,output_d,output_ms_g,output_ms_r,output_ms_re,output_ms_nir,standard_width,standard_height
1,Day 1,1,Tray 1,0001,DJI_20260618123542_0001,PASS,,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 1\DJI_20260618123542_0001_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 1\DJI_20260618123542_0001_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 1\DJI_20260618123542_0001_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 1\DJI_20260618123542_0001_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 1\DJI_20260618123542_0001_MS_NIR.TIF,1200,840
1,Day 1,2,Tray 2,0002,DJI_20260618123812_0002,PASS,,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 2\DJI_20260618123812_0002_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 2\DJI_20260618123812_0002_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 2\DJI_20260618123812_0002_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 2\DJI_20260618123812_0002_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 2\DJI_20260618123812_0002_MS_NIR.TIF,1200,840
1,Day 1,3,Tray 3,0003,DJI_20260618124121_0003,PASS,,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 3\DJI_20260618124121_0003_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 3\DJI_20260618124121_0003_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 3\DJI_20260618124121_0003_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 3\DJI_20260618124121_0003_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 3\DJI_20260618124121_0003_MS_NIR.TIF,1200,840
1,Day 1,4,Tray 4,0004,DJI_20260618124235_0004,PASS,,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 4\DJI_20260618124235_0004_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 4\DJI_20260618124235_0004_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 4\DJI_20260618124235_0004_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 4\DJI_20260618124235_0004_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 4\DJI_20260618124235_0004_MS_NIR.TIF,1200,840
1,Day 1,5,Tray 5,0005,DJI_20260618124331_0005,PASS,,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 5\DJI_20260618124331_0005_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 5\DJI_20260618124331_0005_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 5\DJI_20260618124331_0005_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 5\DJI_20260618124331_0005_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 5\DJI_20260618124331_0005_MS_NIR.TIF,1200,840
1,Day 1,6,Tray 6,0006,DJI_20260618124449_0006,PASS,,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 6\DJI_20260618124449_0006_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 6\DJI_20260618124449_0006_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 6\DJI_20260618124449_0006_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 6\DJI_20260618124449_0006_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 6\DJI_20260618124449_0006_MS_NIR.TIF,1200,840
1,Day 1,7,Tray 7,0007,DJI_20260618124541_0007,PASS,,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 7\DJI_20260618124541_0007_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 7\DJI_20260618124541_0007_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 7\DJI_20260618124541_0007_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 7\DJI_20260618124541_0007_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 7\DJI_20260618124541_0007_MS_NIR.TIF,1200,840
1,Day 1,8,Tray 8,0008,DJI_20260618124632_0008,PASS,,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 8\DJI_20260618124632_0008_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 8\DJI_20260618124632_0008_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 8\DJI_20260618124632_0008_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 8\DJI_20260618124632_0008_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 8\DJI_20260618124632_0008_MS_NIR.TIF,1200,840
2,Day 2,1,Tray 1,0001,DJI_20260620131000_0001,PASS,,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 2\Tray 1\DJI_20260620131000_0001_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 2\Tray 1\DJI_20260620131000_0001_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 2\Tray 1\DJI_20260620131000_0001_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 2\Tray 1\DJI_20260620131000_0001_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 2\Tray 1\DJI_20260620131000_0001_MS_NIR.TIF,1200,840
2,Day 2,2,Tray 2,0002,DJI_20260620131052_0002,PASS,,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 2\Tray 2\DJI_20260620131052_0002_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 2\Tray 2\DJI_20260620131052_0002_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 2\Tray 2\DJI_20260620131052_0002_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 2\Tray 2\DJI_20260620131052_0002_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 2\Tray 2\DJI_20260620131052_0002_MS_NIR.TIF,1200,840
