tray_no,tray,treatment,environment,interaction,day1_emergence_percent,day5_emergence_percent,day9_emergence_percent,day1_to_day5_emergence_percent_change,day5_to_day9_emergence_percent_change,day1_rgb_green_cover_percent,day5_rgb_green_cover_percent,day9_rgb_green_cover_percent,day1_to_day5_rgb_green_cover_percent_change,day5_to_day9_rgb_green_cover_percent_change,day1_ndvi,day5_ndvi,day9_ndvi,day1_to_day5_ndvi_change,day5_to_day9_ndvi_change,day1_ndre,day5_ndre,day9_ndre,day1_to_day5_ndre_change,day5_to_day9_ndre_change,day1_gndvi,day5_gndvi,day9_gndvi,day1_to_day5_gndvi_change,day5_to_day9_gndvi_change,day5_emergence_percent_z,day5_rgb_green_cover_percent_z,day5_ndvi_z,day5_ndre_z,day5_gndvi_z,overall_descriptive_score,overall_descriptive_rank
1,Tray 1,No Microbes,Inside,No Microbes | Inside,5.714285714285714,,51.42857142857142,,,0.02295436132865244,,2.9049081825546854,,,0.284567106621606,,0.28887976514441627,,,-0.06950533622210579,,-0.07507757041935942,,,0.06363468789828143,,0.035527500134360575,,,0.0,0.0,0.0,0.0,0.0,0.0,1
2,Tray 2,No Microbes,Inside,No Microbes | Inside,7.142857142857142,,,,,0.049115581960572516,,,,,0.28943420009953635,,,,,-0.059578606273446764,,,,,0.07492665811275531,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
3,Tray 3,No Microbes,Outside,No Microbes | Outside,30.0,,60.0,,,0.47782203618687547,,1.3683162300837157,,,0.3015112708721842,,0.2710667341947556,,,-0.04587301571986505,,-0.09790101558236139,,,0.08730783689866907,,0.019862249307334424,,,0.0,0.0,0.0,0.0,0.0,0.0,1
4,Tray 4,No Microbes,Outside,No Microbes | Outside,14.285714285714285,,,,,0.11899135835808802,,,,,0.294105304990496,,,,,-0.07571262283516782,,,,,0.04765772022905627,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
5,Tray 5,Microbes,Inside,Microbes | Inside,2.857142857142857,,78.57142857142857,,,0.021266540642722116,,5.377565487442614,,,0.2742431076509612,,0.2851356742637498,,,-0.078565844401185,,-0.0878318701138986,,,0.042933194503919886,,0.008432203105517797,,,0.0,0.0,0.0,0.0,0.0,0.0,1
6,Tray 6,Microbes,Outside,Microbes | Outside,25.71428571428571,,48.57142857142857,,,0.40102619497704567,,1.0265325411828248,,,0.2982930534652301,,0.2923201480082103,,,-0.06040032284966271,,-0.07921980530289667,,,0.04748160480355312,,0.037790094397496435,,,0.0,0.0,0.0,0.0,0.0,0.0,1
7,Tray 7,Microbes,Outside,Microbes | Outside,25.71428571428571,,60.0,,,0.2681947069943289,,1.35295706184175,,,0.28906289296490806,,0.28138409427234107,,,-0.0750132572620974,,-0.09148952433107686,,,0.06008771060400509,,0.022689135362660245,,,0.0,0.0,0.0,0.0,0.0,0.0,1
8,Tray 8,Microbes,Inside,Microbes | Inside,7.142857142857142,,68.57142857142857,,,0.0811841749932487,,5.008439103429652,,,0.2782942616513797,,0.28584761726004737,,,-0.07374843888101168,,-0.09006945752605264,,,0.032700724995187815,,0.041480414620933256,,,0.0,0.0,0.0,0.0,0.0,0.0,1
9,Tray 9,Unknown,Unknown,Unknown | Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
