day_order,day,tray_no,tray,capture_id,cell_id,row,column,ndvi_valid_pixels,ndvi_mean,ndvi_median,ndvi_std,ndvi_p10,ndvi_p90,ndre_valid_pixels,ndre_mean,ndre_median,ndre_std,ndre_p10,ndre_p90,gndvi_valid_pixels,gndvi_mean,gndvi_median,gndvi_std,gndvi_p10,gndvi_p90
1,Day 1,1,Tray 1,DJI_20260618123542_0001,1,1,1,8464,0.23202334344387054,0.1535787284374237,0.169928178191185,0.11242244914174081,0.5081028521060943,8464,-0.08776919543743134,-0.1688612401485443,0.17444798350334167,-0.2536738693714142,0.18186949938535688,8464,0.08282794803380966,-0.1682986468076706,0.36500513553619385,-0.2400122210383415,0.6632478594779968
1,Day 1,1,Tray 1,DJI_20260618123542_0001,2,1,2,8464,0.2509181797504425,0.1560513973236084,0.177718847990036,0.12047314047813415,0.49913077652454374,8464,-0.07275211811065674,-0.1613689661026001,0.182308167219162,-0.2028197944164276,0.18470715135335922,8464,0.1067909225821495,-0.15165577828884125,0.36688894033432007,-0.2241603523492813,0.6735177278518677
1,Day 1,1,Tray 1,DJI_20260618123542_0001,3,1,3,8464,0.2774083614349365,0.18554195761680603,0.16805633902549744,0.12805905491113662,0.5112755000591278,8464,-0.05378425866365433,-0.10086263716220856,0.16368643939495087,-0.1796053647994995,0.16480709761381146,8464,0.16003452241420746,0.11909542977809906,0.34678637981414795,-0.2120763659477234,0.6356490910053253
1,Day 1,1,Tray 1,DJI_20260618123542_0001,4,1,4,8464,0.2793797254562378,0.19688549637794495,0.19232599437236786,0.09168735966086389,0.5238297998905181,8464,-0.06063613295555115,-0.1094055324792862,0.20066963136196136,-0.31505925953388214,0.1990697965025901,8464,0.09701153635978699,-0.08831990510225296,0.39414170384407043,-0.4055059552192688,0.6490656018257142
1,Day 1,1,Tray 1,DJI_20260618123542_0001,5,1,5,8464,0.28400182723999023,0.26999080181121826,0.18880784511566162,0.0834288887679577,0.5151213228702545,8464,-0.0673660859465599,-0.06967530399560928,0.19725105166435242,-0.3664379775524139,0.18352147340774527,8464,0.09225887060165405,-0.05752561241388321,0.38692718744277954,-0.40852340459823605,0.6133369565010071
1,Day 1,1,Tray 1,DJI_20260618123542_0001,6,1,6,8464,0.26332351565361023,0.18786534667015076,0.19914546608924866,0.038223427534103405,0.528635036945343,8464,-0.09371449798345566,-0.15414325892925262,0.21510940790176392,-0.3754425138235092,0.2116608709096908,8464,0.028398564085364342,-0.1549851894378662,0.3700146973133087,-0.41475212574005127,0.5648377180099485
1,Day 1,1,Tray 1,DJI_20260618123542_0001,7,1,7,8464,0.2555733919143677,0.1744663119316101,0.1949903666973114,0.03737525753676892,0.5058980524539948,8464,-0.11064966768026352,-0.16310423612594604,0.1993677169084549,-0.3900000721216202,0.1499014124274253,8464,-0.026301244273781776,-0.17000000178813934,0.34228891134262085,-0.4200945258140564,0.4863911211490631
1,Day 1,1,Tray 1,DJI_20260618123542_0001,8,1,8,8464,0.21968452632427216,0.1522320955991745,0.17004866898059845,0.0451934788376093,0.4892418503761291,8464,-0.1450793743133545,-0.17554183304309845,0.1642235666513443,-0.3420338571071625,0.10093567371368406,8464,-0.07770151644945145,-0.17754501104354858,0.28989550471305847,-0.3852820456027984,0.4508063286542892
1,Day 1,1,Tray 1,DJI_20260618123542_0001,9,1,9,8464,0.23525120317935944,0.15523768961429596,0.1657792329788208,0.12033192291855814,0.48974918127059935,8464,-0.1414078325033188,-0.1762772649526596,0.1631491780281067,-0.3437328040599823,0.09958100467920303,8464,-0.13143552839756012,-0.1954459249973297,0.2647518515586853,-0.4363764703273773,0.3698040336370467
1,Day 1,1,Tray 1,DJI_20260618123542_0001,10,1,10,8464,0.1952730417251587,0.15480542182922363,0.1161133199930191,0.12347109466791154,0.40387235283851625,8464,-0.15392383933067322,-0.17447897791862488,0.13969799876213074,-0.30155120193958285,0.04321644678711879,8464,-0.10859928280115128,-0.2112867534160614,0.29637452960014343,-0.3508022457361221,0.47408264279365525
